IDD,AJD
"""IDD-390""",1-1470-1
"""IDD-436""",2-1470-2
"""IDD-199""",3-1470-3
"""IDD-162""",4-1470-4
"""IDD-227""",5-1471-1
"""IDD-156""",6-1471-2
"""IDD-314""",7-1471-3
"""IDD-332""",8-1472-1
"""IDD-392""",9-1472-2
"""IDD-344""",10-1472-3
"""IDD-343""",11-1472-4
"""IDD-024""",12-1473-1
"""IDD-151""",13-1473-2
"""IDD-228""",14-1473-3
"""IDD-337""",15-1473-4
"""IDD-327""",16-1473-5
"""IDD-160""",17-1474-1
"""IDD-153""",18-1474-2
"""IDD-200""",19-1474-3
"""IDD-224""",20-1474-4
"""IDD-225""",21-1474-5
"""IDD-036""",22-1474-6
"""IDD-152""",23-1474-7
"""IDD-229""",24-1474-8
"""IDD-310""",25-1474-9
"""IDD-338""",26-1474-10
"""IDD-333""",27-1474-11
"""IDD-171""",28-1474-12
"""IDD-438""",29-1475-1
"""IDD-210""",30-1475-2
"""IDD-282""",31-1475-3
"""IDD-038""",32-1475-4
"""IDD-437""",33-1475-5
"""IDD-186""",34-1475-6
"""IDD-309""",35-1475-7
"""IDD-394""",36-1475-8
"""IDD-037""",37-1475-9
"""IDD-300""",38-1475-10
"""IDD-313""",39-1475-11
"""IDD-331""",40-1475-12
"""IDD-301""",41-1475-13
"""IDD-234""",42-1475-14
"""IDD-235""",43-1475-15
"""IDD-236""",44-1475-16
"""IDD-237""",45-1475-17
"""IDD-288""",46-1475-18
"""IDD-289""",47-1475-19
"""IDD-290""",48-1475-20
"""IDD-286""",49-1475-21
"""IDD-287""",50-1475-22
"""IDD-157""",51-1475-23
"""IDD-195""",52-1475-24
"""IDD-230""",53-1475-25
"""IDD-312""",54-1475-26
"""IDD-285""",55-1475-27
"""IDD-284""",56-1475-28
"""IDD-283""",57-1475-29
"""IDD-303""",58-1475-30
"""IDD-447""",59-1475-31
"""IDD-296""",60-1475-32
"""IDD-342""",61-1476-1
"""IDD-231""",62-1476-2
"""IDD-292""",63-1476-3
"""IDD-302""",64-1476-4
"""IDD-184""",65-1476-5
"""IDD-187""",66-1476-6
"""IDD-326""",67-1476-7
"""IDD-291""",68-1476-8
"""IDD-371""",69-1477-1
"""IDD-281""",70-1477-2
"""IDD-316""",71-1477-3
"""IDD-363""",72-1477-4
"""IDD-325""",73-1477-5
"""IDD-347""",74-1477-6
"""IDD-196""",75-1477-7
"""IDD-308""",76-1478-1
"""IDD-233""",77-1478-2
"""IDD-297""",78-1478-3
"""IDD-315""",79-1478-4
"""IDD-322""",80-1478-5
"""IDD-201""",81-1478-6
"""IDD-188""",82-1479-1
"""IDD-395""",83-1479-2
"""IDD-323""",84-1479-3
"""IDD-155""",85-1479-4
"""IDD-174""",86-1479-5
"""IDD-324""",87-1479-6
"""IDD-311""",88-1479-7
"""IDD-385""",89-1480-1
"""IDD-305""",90-1480-2
"""IDD-306""",91-1480-3
"""IDD-299""",92-1480-4
"""IDD-298""",93-1480-5
"""IDD-451""",94-1480-6
"""IDD-376""",95-1481-1
"""IDD-172""",96-1481-2
"""IDD-173""",97-1481-3
"""IDD-341""",98-1481-4
"""IDD-345""",99-1481-5
"""IDD-321""",100-1481-6
"""IDD-450""",101-1481-7
"""IDD-374""",102-1481-8
"""IDD-336""",103-1481-9
"""IDD-373""",104-1482-1
"""IDD-361""",105-1482-2
"""IDD-427""",106-1482-3
"""IDD-320""",107-1482-4
"""IDD-441""",108-1482-5
"""IDD-430""",109-1482-6
"""IDD-293""",110-1482-7
"""IDD-181""",111-1483-1
"""IDD-175""",112-1483-2
"""IDD-307""",113-1483-3
"""IDD-203""",114-1483-4
"""IDD-189""",115-1483-5
"""IDD-226""",116-1483-6
"""IDD-319""",117-1483-7
"""IDD-460""",118-1483-8
"""IDD-461""",119-1483-9
"""IDD-382""",120-1484-1
"""IDD-462""",121-1484-2
"""IDD-190""",122-1485-1
"""IDD-334""",123-1485-2
"""IDD-142""",124-1485-3
"""IDD-318""",125-1485-4
"""IDD-158""",126-1485-5
"""IDD-317""",127-1485-6
"""IDD-143""",128-1486-1
"""IDD-368""",129-1486-2
"""IDD-329""",130-1486-3
"""IDD-330""",131-1486-4
"""IDD-039""",132-1486-5
"""IDD-449""",133-1486-6
"""IDD-367""",134-1487-1
"""IDD-241""",135-1487-2
"""IDD-040""",136-1487-3
"""IDD-245""",137-1488-1
"""IDD-029""",138-1488-2
"""IDD-223""",139-1488-3
"""IDD-232""",140-1488-4
"""IDD-041""",141-1488-5
"""IDD-463""",142-1488-6
"""IDD-464""",143-1489-1
"""IDD-161""",144-1489-2
"""IDD-163""",145-1489-3
"""IDD-154""",146-1489-4
"""IDD-372""",147-1489-5
"""IDD-346""",148-1489-6
"""IDD-166""",149-1490-1
"""IDD-221""",150-1490-2
"""IDD-242""",151-1490-3
"""IDD-362""",152-1490-4
"""IDD-180""",153-1490-5
"""IDD-191""",154-1490-6
"""IDD-340""",155-1490-7
"""IDD-386""",156-1490-8
"""IDD-294""",157-1490-9
"""IDD-238""",158-1490-10
"""IDD-176""",159-1491-1
"""IDD-178""",160-1491-2
"""IDD-179""",161-1491-3
"""IDD-028""",162-1491-4
"""IDD-177""",163-1491-5
"""IDD-414""",164-1492-6
"""IDD-428""",165-1492-7
"""IDD-144""",166-1492-8
"""IDD-442""",167-1492-9
"""IDD-212""",168-1492-10
"""IDD-213""",169-1492-11
"""IDD-214""",170-1492-12
"""IDD-215""",171-1492-13
"""IDD-216""",172-1492-14
"""IDD-217""",173-1492-15
"""IDD-218""",174-1492-16
"""IDD-443""",175-1492-17
"""IDD-164""",176-1493-1
"""IDD-145""",177-1493-2
"""IDD-165""",178-1493-3
"""IDD-204""",179-1493-4
"""IDD-452""",180-1493-5
"""IDD-220""",181-1494-1
"""IDD-219""",182-1494-2
"""IDD-365""",183-1494-3
"""IDD-147""",184-1494-4
"""IDD-366""",185-1494-5
"""IDD-159""",186-1494-6
"""IDD-328""",187-1494-7
"""IDD-248""",188-1495-1
"""IDD-197""",189-1495-2
"""IDD-148""",190-1495-3
"""IDD-207""",191-1495-4
"""IDD-375""",192-1495-5
"""IDD-370""",193-1495-6
"""IDD-027""",194-1496-1
"""IDD-170""",195-1496-2
"""IDD-194""",196-1496-3
"""IDD-183""",197-1496-4
"""IDD-304""",198-1496-5
"""IDD-465""",199-1496-6
"""IDD-369""",200-1496-7
"""IDD-246""",201-1496-8
"""IDD-192""",202-1496-9
"""IDD-250""",203-1497-1
"""IDD-206""",204-1497-2
"""IDD-185""",205-1497-3
"""IDD-398""",206-1497-4
"""IDD-146""",207-1497-5
