IDD,DRUCKORT
IDD-280,Ancona
IDD-039,Antwerpen
IDD-040,Antwerpen
IDD-041,Antwerpen
IDD-061,Augsburg
IDD-079,Augsburg
IDD-100,Augsburg
IDD-104,Augsburg
IDD-106,Augsburg
IDD-108,Augsburg
IDD-137,Augsburg
IDD-138,Augsburg
IDD-184,Augsburg
IDD-198,Augsburg
IDD-207,Augsburg
IDD-232,Augsburg
IDD-234,Augsburg
IDD-236,Augsburg
IDD-383,Augsburg
IDD-436,Augsburg
IDD-462,Augsburg
IDD-463,Augsburg
IDD-465,Augsburg
IDD-170,Bamberg
IDD-212,Bamberg
IDD-427,Barcelona
IDD-441,Barcelona
IDD-082,Basel
IDD-099,Basel
IDD-124,Basel
IDD-140,Basel
IDD-141,Basel
IDD-157,Basel
IDD-161,Basel
IDD-163,Basel
IDD-164,Basel
IDD-190,Basel
IDD-224,Basel
IDD-225,Basel
IDD-471,Basel
IDD-472,Basel
IDD-214,Basel
IDD-304,Bologna
IDD-312,Bologna
IDD-328,Bologna
IDD-408,Bologna
IDD-307,Bologna
IDD-065,Braunschweig
IDD-445,Brescia
IDD-038,Brüssel
IDD-249,Burgos
IDD-474,Deventer
IDD-195,Esslingen
IDD-196,Esslingen
IDD-311,Florenz
IDD-364,Florenz
IDD-366,Florenz
IDD-369,Florenz
IDD-444,Florenz
IDD-452,Florenz
IDD-064,Frankfurt (Main)
IDD-096,Frankfurt (Main)
IDD-097,Frankfurt (Main)
IDD-378,Frankfurt (Main)
IDD-071,Frankfurt (Oder)
IDD-072,Frankfurt (Oder)
IDD-073,Frankfurt (Oder)
IDD-248,Genf
IDD-430,Gouda
IDD-095,Hagenau
IDD-047,Köln
IDD-050,Köln
IDD-052,Köln
IDD-054,Köln
IDD-062,Köln
IDD-063,Köln
IDD-066,Köln
IDD-069,Köln
IDD-075,Köln
IDD-076,Köln
IDD-077,Köln
IDD-078,Köln
IDD-102,Köln
IDD-103,Köln
IDD-105,Köln
IDD-107,Köln
IDD-109,Köln
IDD-111,Köln
IDD-112,Köln
IDD-116,Köln
IDD-121,Köln
IDD-126,Köln
IDD-127,Köln
IDD-128,Köln
IDD-129,Köln
IDD-150,Köln
IDD-162,Köln
IDD-166,Köln
IDD-181,Köln
IDD-186,Köln
IDD-192,Köln
IDD-203,Köln
IDD-204,Köln
IDD-206,Köln
IDD-215,Köln
IDD-220,Köln
IDD-222,Köln
IDD-227,Köln
IDD-233,Köln
IDD-377,Köln
IDD-384,Köln
IDD-403,Köln
IDD-411,Köln
IDD-435,Köln
IDD-117,Landshut
IDD-118,Landshut
IDD-119,Landshut
IDD-093,Leipzig
IDD-094,Leipzig
IDD-120,Leipzig
IDD-147,Leipzig
IDD-148,Leipzig
IDD-149,Leipzig
IDD-180,Leipzig
IDD-219,Leipzig
IDD-380,Leipzig
IDD-153,Lübeck
IDD-218,Lübeck
IDD-438,Lübeck
IDD-459,Lübeck
IDD-005,Lyon
IDD-011,Lyon
IDD-012,Lyon
IDD-028,Lyon
IDD-029,Lyon
IDD-241,Lyon
IDD-242,Lyon
IDD-252,Lyon
IDD-213,Magdeburg
IDD-216,Magdeburg
IDD-217,Magdeburg
IDD-456,Magdeburg
IDD-457,Magdeburg
IDD-458,Magdeburg
IDD-394,Mähren
IDD-315,Mailand
IDD-324,Mailand
IDD-371,Mailand
IDD-446,Mailand
IDD-092,Mainz
IDD-098,Mainz
IDD-201,Mainz
IDD-210,Mainz
IDD-290,Mantua
IDD-313,Mantua
IDD-307,Messina
IDD-088,München
IDD-101,München
IDD-281,Neapel
IDD-316,Neapel
IDD-308,Neapel
IDD-053,Nürnberg
IDD-057,Nürnberg
IDD-068,Nürnberg
IDD-070,Nürnberg
IDD-089,Nürnberg
IDD-110,Nürnberg
IDD-113,Nürnberg
IDD-135,Nürnberg
IDD-142,Nürnberg
IDD-143,Nürnberg
IDD-145,Nürnberg
IDD-146,Nürnberg
IDD-151,Nürnberg
IDD-152,Nürnberg
IDD-154,Nürnberg
IDD-155,Nürnberg
IDD-158,Nürnberg
IDD-159,Nürnberg
IDD-165,Nürnberg
IDD-172,Nürnberg
IDD-173,Nürnberg
IDD-174,Nürnberg
IDD-175,Nürnberg
IDD-176,Nürnberg
IDD-177,Nürnberg
IDD-178,Nürnberg
IDD-179,Nürnberg
IDD-183,Nürnberg
IDD-185,Nürnberg
IDD-197,Nürnberg
IDD-205,Nürnberg
IDD-208,Nürnberg
IDD-235,Nürnberg
IDD-237,Nürnberg
IDD-239,Nürnberg
IDD-395,Nürnberg
IDD-406,Nürnberg
IDD-274,Ortona
IDD-259,Ortona
IDD-327,Padua
IDD-333,Padua
IDD-337,Padua
IDD-001,Paris
IDD-003,Paris
IDD-004,Paris
IDD-006,Paris
IDD-007,Paris
IDD-008,Paris
IDD-015,Paris
IDD-016,Paris
IDD-017,Paris
IDD-018,Paris
IDD-019,Paris
IDD-020,Paris
IDD-022,Paris
IDD-023,Paris
IDD-024,Paris
IDD-025,Paris
IDD-026,Paris
IDD-027,Paris
IDD-030,Paris
IDD-031,Paris
IDD-032,Paris
IDD-033,Paris
IDD-034,Paris
IDD-243,Paris
IDD-250,Paris
IDD-253,Paris
IDD-277,Paris
IDD-414,Paris
IDD-415,Paris
IDD-416,Paris
IDD-417,Paris
IDD-418,Paris
IDD-419,Paris
IDD-420,Paris
IDD-422,Paris
IDD-423,Paris
IDD-424,Paris
IDD-425,Paris
IDD-426,Paris
IDD-443,Paris
IDD-470,Paris
IDD-257,Pavia
IDD-275,Pavia
IDD-368,Pescia
IDD-080,Pforzheim
IDD-188,Reutlingen
IDD-308,Rom
IDD-259,Rom
IDD-258,Rom
IDD-282,Rom
IDD-283,Rom
IDD-285,Rom
IDD-305,Rom
IDD-306,Rom
IDD-314,Rom
IDD-329,Rom
IDD-330,Rom
IDD-332,Rom
IDD-334,Rom
IDD-335,Rom
IDD-361,Rom
IDD-362,Rom
IDD-447,Rom
IDD-477,Rom
IDD-453,Rostock
IDD-454,Rostock
IDD-455,Rostock
IDD-466,Rostock
IDD-468,Rostock
IDD-301,Sant'Orso
IDD-310,Sant'Orso
IDD-331,Sant'Orso
IDD-309,Sant'Orso
IDD-288,Sant'Orso
IDD-428,Sevilla
IDD-442,Sevilla
IDD-367,Siena
IDD-214,Speyer
IDD-125,Speyer
IDD-238,Speyer
IDD-074,Strassburg
IDD-086,Strassburg
IDD-090,Strassburg
IDD-122,Strassburg
IDD-136,Strassburg
IDD-144,Strassburg
IDD-156,Strassburg
IDD-160,Strassburg
IDD-171,Strassburg
IDD-182,Strassburg
IDD-187,Strassburg
IDD-189,Strassburg
IDD-191,Strassburg
IDD-194,Strassburg
IDD-199,Strassburg
IDD-200,Strassburg
IDD-202,Strassburg
IDD-221,Strassburg
IDD-226,Strassburg
IDD-473,Stuttgart
IDD-223,südliche Niederlande
IDD-437,südliche Niederlande
IDD-284,Treviso
IDD-289,Treviso
IDD-298,Treviso
IDD-299,Treviso
IDD-300,Treviso
IDD-363,Treviso
IDD-291,Trient
IDD-292,Trient
IDD-293,Trient
IDD-296,Trient
IDD-303,Trient
IDD-376,Trient
IDD-469,Tübingen
IDD-211,Ulm
IDD-228,Ulm
IDD-229,Ulm
IDD-230,Ulm
IDD-231,Ulm
IDD-390,Ulm
IDD-460,Ulm
IDD-461,Ulm
IDD-464,Ulm
IDD-036,Utrecht
IDD-037,Utrecht
IDD-382,Valencia
IDD-035,Valladolid
IDD-309,Venedig
IDD-255,Venedig
IDD-273,Venedig
IDD-276,Venedig
IDD-278,Venedig
IDD-279,Venedig
IDD-286,Venedig
IDD-287,Venedig
IDD-294,Venedig
IDD-295,Venedig
IDD-302,Venedig
IDD-318,Venedig
IDD-319,Venedig
IDD-320,Venedig
IDD-321,Venedig
IDD-322,Venedig
IDD-323,Venedig
IDD-325,Venedig
IDD-326,Venedig
IDD-336,Venedig
IDD-338,Venedig
IDD-339,Venedig
IDD-340,Venedig
IDD-341,Venedig
IDD-342,Venedig
IDD-343,Venedig
IDD-344,Venedig
IDD-346,Venedig
IDD-348,Venedig
IDD-365,Venedig
IDD-370,Venedig
IDD-372,Venedig
IDD-373,Venedig
IDD-374,Venedig
IDD-375,Venedig
IDD-392,Venedig
IDD-398,Venedig
IDD-439,Venedig
IDD-440,Venedig
IDD-448,Venedig
IDD-449,Venedig
IDD-450,Venedig
IDD-475,Venedig
IDD-476,Venedig
IDD-317,Vercelli
IDD-297,Verona
IDD-451,Verona
IDD-345,Vicenza
IDD-347,Vicenza
IDD-288,Vicenza
IDD-404,Weimar
IDD-245,Zaragoza
IDD-246,Zaragoza
IDD-385,Zaragoza
IDD-386,Zaragoza
