IDD,DRUCKORT
IDD-001,Paris
IDD-003,Paris
IDD-004,Paris
IDD-005,Lyon
IDD-006,Paris
IDD-007,Paris
IDD-008,Paris
IDD-011,Lyon
IDD-012,Lyon
IDD-015,Paris
IDD-016,Paris
IDD-017,Paris
IDD-018,Paris
IDD-019,Paris
IDD-020,Paris
IDD-022,Paris
IDD-023,Paris
IDD-024,Paris
IDD-025,Paris
IDD-026,Paris
IDD-027,Paris
IDD-028,Lyon
IDD-029,Lyon
IDD-030,Paris
IDD-031,Paris
IDD-032,Paris
IDD-033,Paris
IDD-034,Paris
IDD-035,Valladolid
IDD-036,Utrecht
IDD-037,Utrecht
IDD-038,Brüssel
IDD-039,Antwerpen
IDD-040,Antwerpen
IDD-041,Antwerpen
IDD-047,Köln
IDD-050,Köln
IDD-052,Köln
IDD-053,Nürnberg
IDD-054,Köln
IDD-057,Nürnberg
IDD-061,Augsburg
IDD-062,Köln
IDD-063,Köln
IDD-064,Frankfurt (Main)
IDD-065,Braunschweig
IDD-066,Köln
IDD-068,Nürnberg
IDD-069,Köln
IDD-070,Nürnberg
IDD-071,Frankfurt (Oder)
IDD-072,Frankfurt (Oder)
IDD-073,Frankfurt (Oder)
IDD-074,Strassburg
IDD-075,Köln
IDD-076,Köln
IDD-077,Köln
IDD-078,Köln
IDD-079,Augsburg
IDD-080,Pforzheim
IDD-082,Basel
IDD-086,Strassburg
IDD-088,München
IDD-089,Nürnberg
IDD-090,Strassburg
IDD-092,Mainz
IDD-093,Leipzig
IDD-094,Leipzig
IDD-095,Hagenau
IDD-096,Frankfurt (Main)
IDD-097,Frankfurt (Main)
IDD-098,Mainz
IDD-099,Basel
IDD-100,Augsburg
IDD-101,München
IDD-102,Köln
IDD-103,Köln
IDD-104,Augsburg
IDD-105,Köln
IDD-106,Augsburg
IDD-107,Köln
IDD-108,Augsburg
IDD-109,Köln
IDD-110,Nürnberg
IDD-111,Köln
IDD-112,Köln
IDD-113,Nürnberg
IDD-116,Köln
IDD-117,Landshut
IDD-118,Landshut
IDD-119,Landshut
IDD-120,Leipzig
IDD-121,Köln
IDD-122,Strassburg
IDD-124,Basel
IDD-125,Speyer
IDD-126,Köln
IDD-127,Köln
IDD-128,Köln
IDD-129,Köln
IDD-135,Nürnberg
IDD-136,Strassburg
IDD-137,Augsburg
IDD-138,Augsburg
IDD-140,Basel
IDD-141,Basel
IDD-142,Nürnberg
IDD-143,Nürnberg
IDD-144,Strassburg
IDD-145,Nürnberg
IDD-146,Nürnberg
IDD-147,Leipzig
IDD-148,Leipzig
IDD-149,Leipzig
IDD-150,Köln
IDD-151,Nürnberg
IDD-152,Nürnberg
IDD-153,Lübeck
IDD-154,Nürnberg
IDD-155,Nürnberg
IDD-156,Strassburg
IDD-157,Basel
IDD-158,Nürnberg
IDD-159,Nürnberg
IDD-160,Strassburg
IDD-161,Basel
IDD-162,Köln
IDD-163,Basel
IDD-164,Basel
IDD-165,Nürnberg
IDD-166,Köln
IDD-170,Bamberg
IDD-171,Strassburg
IDD-172,Nürnberg
IDD-173,Nürnberg
IDD-174,Nürnberg
IDD-175,Nürnberg
IDD-176,Nürnberg
IDD-177,Nürnberg
IDD-178,Nürnberg
IDD-179,Nürnberg
IDD-180,Leipzig
IDD-181,Köln
IDD-182,Strassburg
IDD-183,Nürnberg
IDD-184,Augsburg
IDD-185,Nürnberg
IDD-186,Köln
IDD-187,Strassburg
IDD-188,Reutlingen
IDD-189,Strassburg
IDD-190,Basel
IDD-191,Strassburg
IDD-192,Köln
IDD-194,Strassburg
IDD-195,Esslingen
IDD-196,Esslingen
IDD-197,Nürnberg
IDD-198,Augsburg
IDD-199,Strassburg
IDD-200,Strassburg
IDD-201,Mainz
IDD-202,Strassburg
IDD-203,Köln
IDD-204,Köln
IDD-205,Nürnberg
IDD-206,Köln
IDD-207,Augsburg
IDD-208,Nürnberg
IDD-210,Mainz
IDD-211,Ulm
IDD-212,Bamberg
IDD-213,Magdeburg
IDD-214,"Basel, Speyer"
IDD-215,Köln
IDD-216,Magdeburg
IDD-217,Magdeburg
IDD-218,Lübeck
IDD-219,Leipzig
IDD-220,Köln
IDD-221,Strassburg
IDD-222,Köln
IDD-223,südliche Niederlande
IDD-224,Basel
IDD-225,Basel
IDD-226,Strassburg
IDD-227,Köln
IDD-228,Ulm
IDD-229,Ulm
IDD-230,Ulm
IDD-231,Ulm
IDD-232,Augsburg
IDD-233,Köln
IDD-234,Augsburg
IDD-235,Nürnberg
IDD-236,Augsburg
IDD-237,Nürnberg
IDD-238,Speyer
IDD-239,Nürnberg
IDD-241,Lyon
IDD-242,Lyon
IDD-243,Paris
IDD-245,Zaragoza
IDD-246,Zaragoza
IDD-248,Genf
IDD-249,Burgos
IDD-250,Paris
IDD-252,Lyon
IDD-253,Paris
IDD-255,Venedig
IDD-257,Pavia
IDD-258,Rom
IDD-259,"Ortona, Rom"
IDD-273,Venedig
IDD-274,Ortona
IDD-275,Pavia
IDD-276,Venedig
IDD-277,Paris
IDD-278,Venedig
IDD-279,Venedig
IDD-280,Ancona
IDD-281,Neapel
IDD-282,Rom
IDD-283,Rom
IDD-284,Treviso
IDD-285,Rom
IDD-286,Venedig
IDD-287,Venedig
IDD-288,"Vicenza, Sant'Orso"
IDD-289,Treviso
IDD-290,Mantua
IDD-291,Trient
IDD-292,Trient
IDD-293,Trient
IDD-294,Venedig
IDD-295,Venedig
IDD-296,Trient
IDD-297,Verona
IDD-298,Treviso
IDD-299,Treviso
IDD-300,Treviso
IDD-301,Sant'Orso
IDD-302,Venedig
IDD-303,Trient
IDD-304,Bologna
IDD-305,Rom
IDD-306,Rom
IDD-307,"Bologna, Messina"
IDD-308,"Neapel, Rom"
IDD-309,"Sant'Orso, Venedig"
IDD-310,Sant'Orso
IDD-311,Florenz
IDD-312,Bologna
IDD-313,Mantua
IDD-314,Rom
IDD-315,Mailand
IDD-316,Neapel
IDD-317,Vercelli
IDD-318,Venedig
IDD-319,Venedig
IDD-320,Venedig
IDD-321,Venedig
IDD-322,Venedig
IDD-323,Venedig
IDD-324,Mailand
IDD-325,Venedig
IDD-326,Venedig
IDD-327,Padua
IDD-328,Bologna
IDD-329,Rom
IDD-330,Rom
IDD-331,Sant'Orso
IDD-332,Rom
IDD-333,Padua
IDD-334,Rom
IDD-335,Rom
IDD-336,Venedig
IDD-337,Padua
IDD-338,Venedig
IDD-339,Venedig
IDD-340,Venedig
IDD-341,Venedig
IDD-342,Venedig
IDD-343,Venedig
IDD-344,Venedig
IDD-345,Vicenza
IDD-346,Venedig
IDD-347,Vicenza
IDD-348,Venedig
IDD-361,Rom
IDD-362,Rom
IDD-363,Treviso
IDD-364,Florenz
IDD-365,Venedig
IDD-366,Florenz
IDD-367,Siena
IDD-368,Pescia
IDD-369,Florenz
IDD-370,Venedig
IDD-371,Mailand
IDD-372,Venedig
IDD-373,Venedig
IDD-374,Venedig
IDD-375,Venedig
IDD-376,Trient
IDD-377,Köln
IDD-378,Frankfurt (Main)
IDD-380,Leipzig
IDD-382,Valencia
IDD-383,Augsburg
IDD-384,Köln
IDD-385,Zaragoza
IDD-386,Zaragoza
IDD-390,Ulm
IDD-392,Venedig
IDD-394,Mähren
IDD-395,Nürnberg
IDD-398,Venedig
IDD-403,Köln
IDD-404,Weimar
IDD-406,Nürnberg
IDD-408,Bologna
IDD-411,Köln
IDD-414,Paris
IDD-415,Paris
IDD-416,Paris
IDD-417,Paris
IDD-418,Paris
IDD-419,Paris
IDD-420,Paris
IDD-422,Paris
IDD-423,Paris
IDD-424,Paris
IDD-425,Paris
IDD-426,Paris
IDD-427,Barcelona
IDD-428,Sevilla
IDD-430,Gouda
IDD-435,Köln
IDD-436,Augsburg
IDD-437,südliche Niederlande
IDD-438,Lübeck
IDD-439,Venedig
IDD-440,Venedig
IDD-441,Barcelona
IDD-442,Sevilla
IDD-443,Paris
IDD-444,Florenz
IDD-445,Brescia
IDD-446,Mailand
IDD-447,Rom
IDD-448,Venedig
IDD-449,Venedig
IDD-450,Venedig
IDD-451,Verona
IDD-452,Florenz
IDD-453,Rostock
IDD-454,Rostock
IDD-455,Rostock
IDD-456,Magdeburg
IDD-457,Magdeburg
IDD-458,Magdeburg
IDD-459,Lübeck
IDD-460,Ulm
IDD-461,Ulm
IDD-462,Augsburg
IDD-463,Augsburg
IDD-464,Ulm
IDD-465,Augsburg
IDD-466,Rostock
IDD-468,Rostock
IDD-469,Tübingen
IDD-477,Rom
IDD-476,Venedig
IDD-475,Venedig
IDD-474,Deventer
IDD-473,Stuttgart
IDD-472,Basel
IDD-471,Basel
IDD-470,Paris
