wikidataID_ort,ort,wikidataID_land,land
Q87,Alexandria,Q79,Ägypten
Q85,Kairo,Q79,Ägypten
Q858024,Hippo Regius,Q262,Algerien
Q844930,Antikes Athen,Q844930,Antikes Athen
Q12892,Antwerpen,Q31,Belgien
Q16869,Konstantinopel,Q12544,Byzantinisches Reich
Q2749,Augsburg,Q183,Deutschland
Q6910,Dülmen,Q183,Deutschland
Q1729,Erfurt,Q183,Deutschland
Q4024,Frankfurt (Oder),Q183,Deutschland
Q2833,Freiburg im Breisgau,Q183,Deutschland
Q518786,Gemmingen,Q183,Deutschland
Q505166,Kaisheim,Q183,Deutschland
Q365,Köln,Q183,Deutschland
Q3834,Konstanz,Q183,Deutschland
Q505160,Kyritz,Q183,Deutschland
Q2079,Leipzig,Q183,Deutschland
Q2843,Lübeck,Q183,Deutschland
Q2090,Nürnberg,Q183,Deutschland
Q2978,Regensburg,Q183,Deutschland
Q156439,Reichenau,Q183,Deutschland
Q2861,Rostock,Q183,Deutschland
Q1022,Stuttgart,Q183,Deutschland
Q3138,Trier,Q183,Deutschland
Q3955,Weimar,Q183,Deutschland
Q2999,Würzburg,Q183,Deutschland
Q205116,Amboise,Q142,Frankreich
Q22730,Hagenau,Q142,Frankreich
Q647070,Kloster Clairvaux,Q142,Frankreich
Q167141,Laon,Q142,Frankreich
Q188743,Lisieux,Q142,Frankreich
Q456,Lyon,Q142,Frankreich
Q210769,Nérac,Q142,Frankreich
Q22727,Obernai,Q142,Frankreich
Q90,Paris,Q142,Frankreich
Q41876,Reims,Q142,Frankreich
Q22737,Sélestat,Q142,Frankreich
Q6602,Straßburg,Q142,Frankreich
Q5489,Troyes,Q142,Frankreich
Q844930,Antikes Athen,Q41,Griechenland
Q34374,Kreta,Q41,Griechenland
Q846127,Stagira,Q41,Griechenland
Q28587,Hamadan,Q794,Iran
Q681427,Tūs,Q794,Iran
Q319242,Caesarea Maritima,Q801,Israel
Q34638,Arquà Petrarca,Q38,Italien
Q1891,Bologna,Q38,Italien
Q18484193,Borgo alla Collina,Q38,Italien
Q13496,Brindisi,Q38,Italien
Q100041,Carpi,Q38,Italien
Q2044,Florenz,Q38,Italien
Q20436,Foligno,Q38,Italien
Q1775258,Kloster Fossanova,Q38,Italien
Q40827513,Konvent von S. Maria in Aracoeli,Q38,Italien
Q3476,L’Aquila,Q38,Italien
Q490,Mailand,Q38,Italien
Q13666,Messina,Q38,Italien
Q128105,Minturno,Q38,Italien
Q2634,Neapel,Q38,Italien
Q617,Padua,Q38,Italien
Q6259,Pavia,Q38,Italien
Q13375,Pisa,Q38,Italien
Q13360,Reggio nell'Emilia,Q38,Italien
Q220,Rom,Q38,Italien
Q3376,Trient,Q38,Italien
Q641,Venedig,Q38,Italien
Q2028,Verona,Q38,Italien
Q6537,Vicenza,Q38,Italien
Q5882,Ilok,Q224,Kroatien
Q9783,Roermond,Q55,Niederlande
Q16869,Konstantinopel,Q12560,Osmanisches Reich
Q1735,Innsbruck,Q40,Österreich
Q178582,Wels,Q40,Österreich
Q1741,Wien,Q40,Österreich
Q1799,Breslau,Q36,Polen
Q319242,Caesarea Maritima,Q2277,Römisches Kaiserreich
Q16869,Konstantinopel,Q2277,Römisches Kaiserreich
Q5060420,Șeica Mare,Q218,Rumänien
Q78,Basel,Q39,Schweiz
Q303431,Ufenau,Q39,Schweiz
Q1492,Barcelona,Q29,Spanien
Q9580,Burgos,Q29,Spanien
Q936453,Kloster von Yuste,Q29,Spanien
Q8717,Sevilla,Q29,Spanien
Q8818,Valencia,Q29,Spanien
Q8356,Valladolid,Q29,Spanien
Q5687,Jericho,Q219060,Palästina
Q1085,Prag,Q213,Tschechien
Q29303,Canterbury,Q145,Vereinigtes Königreich
