IDP,wikidataID,geburtsdatum,sterbedatum
IDP353,Q8827,-0047-00-00,-0014-00-00
IDP387,Q109598,-0050-00-00,-0015-00-00
IDP422,Q1398,-0070-10-15,-0019-09-21
IDP115,Q163079,-0084-00-00,-0054-00-00
IDP172,Q51672,-0074-00-00,0004-00-00
IDP377,Q243203,0045-00-00,0096-00-00
IDP095,Q134461,0037-00-00,0100-00-00
IDP035,Q190368,0095-00-00,0165-00-00
IDP420,Q134189,0203-00-00,0270-00-00
IDP301,Q355350,0363-00-00,0301-00-00
IDP278,Q209102,0240-00-00,0317-00-00
IDP418,Q868,0384-00-00,0322-00-00
IDP092,Q142999,0265-00-00,0339-05-00
IDP419,Q859,0427-05-07,0347-00-00
IDP042,Q44024,0296-00-00,0373-05-02
IDP015,Q43689,0339-00-00,0397-04-04
IDP355,Q7254410,0400-00-00,0400-00-00
IDP366,Q365835,0345-00-00,0411-00-00
IDP425,Q8018,0354-11-13,0430-08-28
IDP354,Q454652,0390-00-00,0463-00-00
IDP096,Q192365,0487-00-00,0583-00-00
IDP180,Q166876,0560-00-00,0636-04-04
IDP400,Q456569,0808-00-00,0849-08-18
IDP423,Q8011,0980-00-00,1037-06-18
IDP358,Q18945778,1001-00-00,1100-00-00
IDP426,Q26456,1040-00-00,1105-07-13
IDP408,Q43939,1033-00-00,1109-04-21
IDP424,Q9546,1058-00-00,1111-12-19
IDP020,Q569607,1050-00-00,1117-07-15
IDP057,Q188411,1090-00-00,1153-08-20
IDP309,Q127398,1138-03-30,1204-12-13
IDP343,Q556117,1140-00-00,1209-00-00
IDP349,Q926670,1120-00-00,1210-00-00
IDP145,Q654957,1165-00-00,1225-00-00
IDP109,Q1453903,1200-00-00,1233-00-00
IDP401,Q1347826,1180-00-00,1249-00-00
IDP386,Q9438,1225-01-25,1274-03-07
IDP414,Q751353,1215-00-00,1285-00-00
IDP038,Q1918279,1300-00-00,1308-00-00
IDP233,Q190089,1265-00-00,1308-11-08
IDP399,Q3908459,1250-00-00,1315-00-00
IDP363,Q239820,1242-00-00,1320-10-31
IDP041,Q4810821,N/A,1330-00-00
IDP411,Q1306304,1245-00-00,1340-10-18
IDP227,Q112371497,N/A,1341-00-00
IDP415,Q322560,1270-00-00,1347-00-00
IDP406,Q3635444,1262-00-00,1347-07-02
IDP313,Q1969164,1270-00-00,1349-10-23
IDP012,Q26868696,1350-00-00,1353-00-00
IDP179,Q113788070,1310-00-00,1358-00-00
IDP362,Q7325689,1295-00-00,1360-12-16
IDP098,Q1401,1304-07-19,1374-07-18
IDP388,Q61482495,1319-00-00,1377-00-00
IDP318,Q310777,1323-00-00,1382-07-11
IDP160,Q71997,1325-00-00,1397-02-11
IDP165,Q1277022,1330-00-00,1397-05-12
IDP412,Q983688,1324-00-00,1398-00-00
IDP317,Q7029929,1401-00-00,1401-00-00
IDP267,Q679093,1380-00-00,1418-00-00
IDP416,Q462009,1400-00-00,1419-00-00
IDP417,Q310371,1328-11-25,1423-05-23
IDP234,Q281179,1363-12-13,1429-07-12
IDP321,Q95506,1366-00-00,1433-03-17
IDP331,Q1851906,1350-00-00,1435-08-30
IDP059,Q316295,1380-09-08,1444-05-20
IDP304,Q61483721,1440-00-00,1450-00-00
IDP322,Q7026494,1379-00-00,1453-00-00
IDP229,Q310359,1386-06-24,1456-10-23
IDP026,Q773822,1389-03-01,1459-05-02
IDP140,Q15431520,1390-00-00,1463-00-00
IDP236,Q1697670,1390-00-00,1468-00-00
IDP232,Q712941,1388-00-00,1468-09-26
IDP294,Q6791542,1390-00-00,1469-07-24
IDP398,Q4013637,1430-00-00,1470-00-00
IDP072,Q690346,1402-00-00,1471-03-12
IDP371,Q95008427,N/A,1473-00-00
IDP040,Q7220735,1450-00-00,1476-00-00
IDP147,Q91579,1430-00-00,1478-00-00
IDP073,Q16550450,1446-00-00,1478-00-00
IDP214,Q735685,1410-00-00,1478-12-12
IDP215,Q735685,1410-00-00,1478-12-12
IDP392,Q96685,1425-00-00,1479-00-00
IDP043,Q61472556,1450-00-00,1479-00-00
IDP224,Q108155367,1401-00-00,1480-00-00
IDP328,Q88303710,1406-00-00,1480-00-00
IDP311,Q965340,1420-00-00,1480-00-00
IDP244,Q655684,1420-00-00,1480-00-00
IDP360,Q98478165,1431-02-08,1480-00-00
IDP049,Q455140,1421-00-00,1481-00-00
IDP056,Q28846481,N/A,1482-00-00
IDP133,Q3767562,N/A,1482-09-00
IDP037,Q55193523,1450-00-00,1483-00-00
IDP103,Q1448675,N/A,1483-00-00
IDP010,Q41617294,1417-00-00,1484-00-00
IDP268,Q23617599,1420-00-00,1484-00-00
IDP108,Q20001867,1441-00-00,1484-00-00
IDP093,Q3068447,1410-02-04,1484-08-16
IDP212,Q18352992,1401-00-00,1485-00-00
IDP237,Q1697690,1418-00-00,1486-09-21
IDP240,Q94790202,1401-00-00,1487-00-00
IDP316,Q94758046,N/A,1487-00-00
IDP384,Q18530850,N/A,1487-00-00
IDP047,Q93430937,1450-00-00,1488-00-00
IDP270,Q55194453,1401-00-00,1489-00-00
IDP333,Q55123371,N/A,1489-00-00
IDP184,Q105283188,1408-00-00,1490-00-00
IDP345,Q744494,1434-00-00,1490-00-00
IDP013,Q372817,1412-00-00,1491-00-00
IDP137,Q110163624,1450-00-00,1491-00-00
IDP082,Q94758135,N/A,1491-00-00
IDP014,Q2337208,1423-00-00,1492-00-00
IDP295,Q47492468,N/A,1492-10-18
IDP124,Q1510167,1445-00-00,1492-12-01
IDP340,Q64779403,1430-00-00,1493-00-00
IDP025,Q55126694,1430-00-00,1493-00-00
IDP088,Q1236821,1453-05-21,1493-06-14
IDP019,Q250414,1454-07-14,1494-09-29
IDP099,Q85447826,1450-00-00,1496-00-00
IDP264,Q1541796,1500-00-00,1496-00-00
IDP111,Q94799169,N/A,1496-00-00
IDP131,Q18945373,1435-00-00,1497-00-00
IDP307,Q28844125,1472-00-00,1497-00-00
IDP269,Q121370,1500-00-00,1497-00-00
IDP066,Q711964,1424-02-08,1498-09-24
IDP183,Q26722424,1401-00-00,1499-00-00
IDP126,Q55122545,1500-00-00,1499-00-00
IDP132,Q53996523,1400-00-00,1500-00-00
IDP369,Q61481890,1401-00-00,1500-00-00
IDP241,Q1624183,1420-00-00,1500-00-00
IDP276,Q1873044,1450-00-00,1500-00-00
IDP390,Q64533042,1450-00-00,1500-00-00
IDP265,Q1781989,1500-00-00,1500-00-00
IDP129,Q3106572,1401-00-00,1501-00-00
IDP009,Q59530158,1401-00-00,1501-00-00
IDP246,Q111742349,1401-00-00,1501-00-00
IDP148,Q2379744,1401-00-00,1501-00-00
IDP389,Q2474031,1455-00-00,1501-00-00
IDP379,Q2343706,1457-00-00,1501-02-17
IDP159,Q1116188,1500-00-00,1501-08-10
IDP071,Q3708529,1408-00-00,1502-00-00
IDP228,Q4210567,1478-00-00,1502-00-00
IDP254,Q96145569,1450-00-00,1502-01-16
IDP397,Q2526799,1500-00-00,1502-07-15
IDP374,Q94854325,N/A,1503-00-00
IDP120,Q94755413,1435-00-00,1504-00-00
IDP336,Q1735827,1455-00-00,1504-00-00
IDP028,Q3619800,1452-12-06,1505-00-00
IDP330,Q2060312,1500-00-00,1505-00-00
IDP156,Q1619455,1500-00-00,1505-03-06
IDP348,Q3071870,1453-11-07,1505-07-17
IDP287,Q708493,1436-00-00,1506-04-19
IDP319,Q6042553,1500-00-00,1507-00-00
IDP395,Q86263,1500-00-00,1507-00-00
IDP062,Q3664313,1425-00-00,1508-00-00
IDP105,Q1451203,1460-00-00,1508-00-00
IDP263,Q60625,1459-02-01,1508-02-04
IDP091,Q125556,1500-00-00,1509-00-00
IDP219,Q52153952,1447-00-00,1510-00-00
IDP391,Q3547965,1440-00-00,1510-08-23
IDP242,Q106936,1441-00-00,1511-05-13
IDP051,Q813319,1492-00-00,1512-00-00
IDP297,Q1419156,1500-00-00,1512-00-00
IDP306,Q55124637,N/A,1512-00-00
IDP034,Q3620052,1462-00-00,1512-11-30
IDP150,Q86276,1435-00-00,1513-00-00
IDP024,Q64233,1440-00-00,1513-10-03
IDP205,Q69342,1440-00-00,1513-12-25
IDP289,Q17325063,1440-00-00,1514-00-00
IDP023,Q2379728,1450-00-00,1514-00-00
IDP217,Q41733847,N/A,1514-00-00
IDP312,Q46494496,1401-00-00,1515-00-00
IDP396,Q99111,1422-00-00,1515-02-02
IDP346,Q2086852,1463-00-00,1515-02-12
IDP239,Q55132913,1463-00-00,1516-00-00
IDP292,Q55194259,N/A,1516-00-00
IDP122,Q51909210,1401-00-00,1517-00-00
IDP094,Q70626269,1450-00-00,1517-00-00
IDP068,Q59628751,1490-00-00,1517-00-00
IDP373,Q93386966,1450-00-00,1518-00-00
IDP087,Q28379633,1470-00-00,1518-00-00
