wikidataID,schüler_von,name
Q60625,Q102253,Johann von Dalberg
Q711964,Q1042297,Carlo Marsuppini
Q26456,Q1187659,Yaakov ben Yakar
Q142999,Q1277345,Dorotheos von Tyros
Q456569,Q160441,Rabanus Maurus
Q281179,Q1772126,Gilles Deschamps
Q1401,Q18654792,Pietro Cerniti
Q250414,Q192374,Marsilio Ficino
Q9546,Q2584074,Al-Dschuwainī
Q310777,Q275500,Johannes Buridan
Q983688,Q3041512,Nilus Cabasilas
Q356513,Q3077328,Julius Pomponius Laetus
Q134189,Q310173,Ammonios Sakkas
Q569607,Q312314,Bruno von Köln
Q43939,Q317098,Lanfrank von Bec
Q127398,Q3303401,Maimon ben Yossef HaDayan
Q209102,Q342416,Arnobius der Ältere
Q44024,Q44794,Alexander von Alexandria
Q3763946,Q4720482,Alexander de Tartagnis
Q3071870,Q47469059,Francesco Dal Pozzo
Q926670,Q523113,Bernardus Silvestris
Q1236821,Q523923,Julius Pomponius Laetus
Q16550450,Q55226038,Benedetto Brugnoli
Q655684,Q599858,Antonio Beccadelli
Q9438,Q60059,Albertus Magnus
Q3903795,Q66031,Elijah Levita
Q43499,Q706796,Alexander Hegius
Q3345779,Q716415,Jan Standonck
Q190089,Q7520146,Simon of Faversham
Q71848,Q96301,Ludwig Dringenberg
