IDP,WIKI,NAME ,GND,ISNI,CERL,GEBURTSSATUM,STERBEDATUM,BESCHREIBUNG
IDP458,Q7520146,Simon of Faversham,N/A,0000 0000 7973 0583,N/A,1260-01-01,1306-01-01,britischer scholastischer Philosoph
IDP459,Q55226038,Benedetto Brugnoli,10074057X,0000 0001 1876 5229,cnp01880812,1427-01-01,1502-07-07,italienischer Humanist
IDP460,Q60059,Albertus Magnus,118637649,0000 0001 0922 6821,[1]cnp00246813; [2] cnp01122945; [3] cnp01467471,1200-01-01,1280-11-22,deutscher Gelehrter und Bischof sowie Kirchenlehrer und Schutzpatron der Naturwissenschaftler
IDP461,Q44794,Alexander von Alexandria,118644602,0000 0000 7821 4499,[1] cnp00151892; [2] cnp00576539,0250-01-01,0326-04-18,"Bischof von Alexandria, 19. Papst nach Zählung der Koptischen Kirche"
IDP462,Q913,Sokrates,118615270,0000 0001 2142 6535,cnp01259742,-0468-01-01,-0398-02-10,antiker griechischer Philosoph
IDP463,Q275500,Johannes Buridan,118818864,0000 0004 5567 4539,cnp01316128,1295-01-01,1358-01-01,"scholastischer Philosoph, Physiker und Logiker"
IDP464,Q160441,Rabanus Maurus,118553909,0000 0001 2144 1065,[1] cnp01326021; [2] cnp01466970,0780-01-01,0856-02-08,Erzbischof von Mainz und Leiter der dortigen Klosterschule; Verfasser zweier lateinischsprachiger Enzyklopädien
IDP465,Q96301,Ludwig Dringenberg,102565392,N/A,cnp00296969,1410-01-01,1477-01-01,"deutscher Pädagoge, Humanist und Kleriker"
IDP466,Q310173,Ammonios Sakkas,11850259X,0000 0001 2117 5967,cnp00394058,0175-01-01,0250-01-01,ägyptischer Philosoph
IDP467,Q192374,Marsilio Ficino,118532855,0000 0001 2149 1468,[1] cnp01302118; [2] cnp01317196,1433-10-28,1499-10-10,"italienischer Humanist, Philosoph und Übersetzer"
IDP468,Q66031,Elijah Levita,11868194X,0000 0001 2135 9328,[1] cnp00089000; [2] cnp01379130,1469-02-22,1549-02-07,"jüdischer Dichter, Humanist und Sprachwissenschaftler"
IDP469,Q102253,Johann von Dalberg,118985957,0000 0000 6654 7747,cnp00973142,1455-05-23,1503-08-06,Bischof von Worms und Kanzler der Universität Heidelberg
IDP470,Q160441,Rabanus Maurus,118553909,0000 0001 2144 1065,[1] cnp01326021; [2] cnp01466970,0784-01-01,0856-02-08,Erzbischof von Mainz und Leiter der dortigen Klosterschule; Verfasser zweier lateinischsprachiger Enzyklopädien
IDP471,Q102253,Johann von Dalberg,118985957,0000 0000 6654 7747,cnp00973142,1455-08-23,1503-08-06,Bischof von Worms und Kanzler der Universität Heidelberg
IDP472,Q523113,Bernardus Silvestris,118994077,0000 0000 6243 9802,[1] cnp00402863; [2] cnp02141170,1085-01-01,1160-01-01,Philosoph und Dichter
IDP473,Q523923,Julius Pomponius Laetus,100958656,0000 0001 2135 5239,[1] cnp01302621; [2] cnp01330860,1428-01-01,1497-01-01,italienischer Humanist
IDP474,Q317098,Lanfrank von Bec,11856921X,0000 0001 0919 943X,cnp00945334,1005-01-01,1089-06-03,"mittelalterlicher Theologe, Erzbischof von Canterbury"
IDP475,Q599858,Antonio Beccadelli,11884816X,0000 0001 0874 3616,cnp01231244,1394-01-01,1471-01-28,italienischer Humanist
IDP476,Q312314,Bruno von Köln,118674838,0000 0003 8947 5485,cnp00945335,1030-01-01,1101-10-06,"Mönch, Begründer des Kartäuserordens"
IDP477,Q523923,Julius Pomponius Laetus,100958656,0000 0001 2135 5239,cnp01302621,1428-01-01,1498-06-18,italienischer Humanist
IDP478,Q523923,Julius Pomponius Laetus,100958656,0000 0001 2135 5239,cnp01330860,1428-01-01,1498-06-18,italienischer Humanist
IDP479,Q342416,Arnobius der Ältere,118650335,0000 0004 1888 6532,[1] cnp00945273; [2] cnp01302048; [3] cnp02145429,0255-01-01,0327-01-01,Rhetor in Sicca
IDP480,Q47469059,Francesco Dal Pozzo,137841299,0000 0001 2022 6777,[1] cnp01171099; [2] cnp01233639,N/A,1490-01-01,N/A
IDP481,Q3303401,Maimon ben Yossef HaDayan,136771556,0000 0000 6700 4381,cnp01158366,1110-01-01,1170-01-01,N/A
IDP482,Q716415,Jan Standonck,131341189,N/A,cnp00707879,1453-08-25,1504-02-05,N/A
IDP483,Q3041512,Nilus Cabasilas,119555840,0000 0001 1827 3072,N/A,1298-01-01,1363-01-01,N/A
IDP484,Q18654792,Pietro Cerniti,N/A,N/A,N/A,N/A,N/A,N/A
IDP485,Q1772126,Gilles Deschamps,104040092,N/A,cnp00346705,1350-01-01,1413-03-01,N/A
IDP486,Q3077328,Georgios Hermonymos,128948469,[1] 0000 0001 2121 9886; [2] 0000 0003 6809 3226,[1] cnp00520618; [2] cnp02151611,1452-01-01,1508-01-01,N/A
IDP487,Q2584074,Al-Dschuwainī,118845772,0000 0001 0797 640X,[1] cnp00401354; [2] cnp02142271,1028-02-23,1085-08-20,schafiitischer Rechtsgelehrter und aschʿaritischer Theologe
IDP488,Q1042297,Carlo Marsuppini,100953557,0000 0000 6126 6073,[1] cnp00166530; [2] cnp01378854,1398-01-01,1453-05-03,italienischer Humanist und Staatskanzler von Florenz
IDP489,Q4720482,Alexander de Tartagnis,100935958,0000 0001 2138 8540,cnp01348222,1427-01-01,1477-01-01,italienischer Jurist
IDP490,Q1187659,Yaakov ben Yakar,N/A,N/A,N/A,0990-01-01,1064-01-01,Rabbiner
IDP491,Q706796,Alexander Hegius,100290132,0000 0000 8077 0478,[1] cnp00118467; [2] cnp01467139,1430-01-01,1498-12-16,deutscher Humanist
IDP492,Q4720482,Alexander de Tartagnis,100935958,0000 0001 2138 8540,cnp01348222,1424-01-01,1477-01-01,italienischer Jurist
IDP493,Q1277345,Dorotheos von Tyros,100110398,0000 0003 7408 7076,cnp00106494,0255-01-01,0362-01-01,angeblich Bischof von Tyros und Märtyrer
IDP438,N/A,Anonymous IDP438,N/A,N/A,N/A,N/A,N/A,N/A
IDP439,N/A,Anonymous IDP439,N/A,N/A,N/A,N/A,N/A,N/A
IDP440,N/A,Anonymous IDP440,N/A,N/A,N/A,N/A,N/A,N/A
IDP441,N/A,Anonymous IDP441,N/A,N/A,N/A,N/A,N/A,N/A
IDP442,N/A,Anonymous IDP442,N/A,N/A,N/A,N/A,N/A,N/A
IDP443,N/A,Anonymous IDP443,N/A,N/A,N/A,N/A,N/A,N/A
IDP444,N/A,Anonymous IDP444,N/A,N/A,N/A,N/A,N/A,N/A
IDP445,N/A,Anonymous IDP445,N/A,N/A,N/A,N/A,N/A,N/A
IDP446,N/A,Anonymous IDP446,N/A,N/A,N/A,N/A,N/A,N/A
IDP447,N/A,Anonymous Deggendorf,N/A,N/A,N/A,N/A,N/A,N/A
IDP448,N/A,Anonymous Heiligengrabe,N/A,N/A,N/A,N/A,N/A,N/A
IDP449,N/A,Anonymous Knobloch-Berlin,N/A,N/A,N/A,N/A,N/A,N/A
IDP450,N/A,Anonymous Passau,N/A,N/A,N/A,N/A,N/A,N/A
IDP451,N/A,Anonymous Ploning,N/A,N/A,N/A,N/A,N/A,N/A
IDP452,N/A,Anonymous Seelen-Wurzgarten,N/A,N/A,N/A,N/A,N/A,N/A
IDP453,N/A,Anonymous Trient,N/A,N/A,N/A,N/A,N/A,N/A
IDP454,N/A,Anonymous Trient,N/A,N/A,N/A,N/A,N/A,N/A
IDP455,N/A,Anonymous Trient,N/A,N/A,N/A,N/A,N/A,N/A
IDP456,N/A,Anonymous Trient,N/A,N/A,N/A,N/A,N/A,N/A
IDP457,N/A,Anonymous Trient,N/A,N/A,N/A,N/A,N/A,N/A
